,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome_Label,CoapplicantIncome_Label,LoanAmount_Label,Term,Credit_History,Property_Area,Decision
0,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
1,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
2,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
3,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
4,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
5,Male,Yes,2,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
6,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
7,Male,Yes,3+,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
8,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
9,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
10,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
11,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
12,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
13,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
14,Male,Yes,2,Graduate,No,Low,Low,Few,0.019230769230769235,1.0,Urban,Y
15,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
16,Male,No,1,Not Graduate,No,Low,Low,Few,0.0405982905982906,1.0,Urban,Y
17,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
18,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
19,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
20,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
21,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
